stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
27794,7794,Igralište,44.5362640000,20.3531250000,2,0,
27795,7795,Izvor šenj,44.5338498827,20.3651353120,2,0,
27796,7796,Izvor šenj,44.5337506500,20.3652362281,2,0,
27797,7797,Janković kraj,44.5755517000,20.3698650000,2,0,
27798,7798,Jozića kraj,44.6047209035,20.3482192914,2,0,
27799,7799,Jozića kraj,44.6047403330,20.3485940031,2,0,
27800,7800,Karaula - Ivkovića kraj,44.5889500000,20.4481317000,2,0,
27801,7801,Karaula - Ivkovića kraj,44.5889183000,20.4482133000,2,0,
27802,7802,Karaula - Ulaz,44.5878180000,20.4434450000,2,0,
27803,7803,Karaula - Ulaz,44.5877867000,20.4430850000,2,0,
27804,7804,Karaula R,44.5886381451,20.4287259476,2,0,
27805,7805,Karaula R,44.5885330000,20.4290490000,2,0,
27806,7806,Klupice,44.5962433000,20.2967333000,2,0,
27807,7807,Klupice,44.5960833000,20.2966483000,2,0,
27808,7808,Kuzmanovići R,44.6211070000,20.4293300000,2,0,
27809,7809,Kuzmanovići R,44.6212130000,20.4294430000,2,0,
27810,7810,Svetosavska (Beli Labud),44.6007073395,20.4137175283,2,0,
27811,7811,Svetosavska (Beli Labud),44.6014759390,20.4137346503,2,0,
27812,7812,Guncati - Lecina bara,44.6075735710,20.4019930284,2,0,
27813,7813,Guncati - Lecina bara,44.6077852764,20.4020577988,2,0,
27814,7814,Lipovica (milicija),44.6374112803,20.4122879681,2,0,
27815,7815,Lipovica (milicija),44.6367941555,20.4121372564,2,0,
27816,7816,Šumska uprava,44.6344830913,20.4100194841,2,0,
27817,7817,Lisović - Barake,44.5538474132,20.4140869479,2,0,
27818,7818,Lisović - Baraka,44.5540350258,20.4144307289,2,0,
27819,7819,Lisović - Mlekara,44.5528910385,20.4476007105,2,0,
27820,7820,Lisović - Mlekara,44.5528817000,20.4476633000,2,0,
27821,7821,Lisović - Pajšuma česma,44.5459567000,20.4439083000,2,0,
27822,7822,Lisović - Pogled,44.5643440561,20.4341891693,2,0,
27823,7823,Lisović - Pogled,44.5644545549,20.4342068276,2,0,
27826,7826,Lisović - Spomenik,44.5477436018,20.4095167405,2,0,
27827,7827,Lisović - Spomenik,44.5477329382,20.4096472828,2,0,
27828,7828,Lisović - Trafo,44.5647954984,20.4174289583,2,0,
27829,7829,Lisović - Trafo,44.5650397993,20.4175206307,2,0,
27830,7830,Lisović M.Z. (Staro selo),44.5502233000,20.4449317000,2,0,
27831,7831,Lisović M.Z. (Staro selo),44.5502600000,20.4449983000,2,0,
27832,7832,Lisović R Pajšuma R,44.5530145285,20.4478041013,2,0,
27833,7833,Lisović spomenik (Suva reka),44.5581517000,20.4410700000,2,0,
27834,7834,Lisović spomenik (Suva reka),44.5582396324,20.4411226914,2,0,
27835,7835,Male Gunjice,44.6012633000,20.3429117000,2,0,
27836,7836,Male Gunjice,44.6013394440,20.3432048834,2,0,
27837,7837,Manić - Izlaz,44.5021651308,20.4147039270,2,0,
27838,7838,Manić - Izlaz,44.5019836143,20.4152400816,2,0,
27840,7840,Put za jezero,44.5882400000,20.4341600000,2,0,
27845,7845,Manić - R,44.5060521729,20.4113311172,2,0,
27846,7846,Manić - R,44.5061833430,20.4113921921,2,0,
27847,7847,Rožanci R,44.5078074000,20.4062252000,2,0,
27848,7848,Mioljica,44.5246307756,20.3976169410,2,0,
27849,7849,Mioljica,44.5245662474,20.3977057344,2,0,
27851,7851,Rožanci R,44.5076978159,20.4066347258,2,0,
27853,7853,Naselje gaj - Okretnica,44.5716804000,20.4284367000,2,0,
