route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00601,RD,00601_A_RD_0843,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0500,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2119,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1402,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1958,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_1027,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1439,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0555,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1020,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1909,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0720,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0827,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0759,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0858,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0830,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1428,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1734,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0615,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1559,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_2020,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1110,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1533,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0533,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1652,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1016,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
